,trope,length,Romance,Comedy,Action,Adventure,Horror,Thriller,Crime,Drama,History,Mystery,War,Science Fiction,TV Movie,Fantasy,Music,Family,Documentary,Western,Animation
26959,AuthorsOfThe20thCentury,2,0,1,0,2,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
26960,CactusCushion,6,0,3,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0
26961,CentrifugalFarce,11,0,5,4,8,0,3,0,2,2,0,0,4,0,2,0,4,0,0,0
26962,ChuckYeager,16,1,2,8,5,1,2,0,7,3,1,4,7,0,1,0,0,0,0,0
26963,DivertingPower,5,0,0,3,4,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0
26964,DreamsOfFlying,3,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
26965,SpeechImpededLoveInterest,5,2,2,2,1,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0
26966,TheRightStuff,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26967,BugWar,14,2,1,9,3,3,4,0,4,0,0,0,11,1,1,0,1,0,0,0
26968,DreadfulDragonfly,2,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0
26969,Flashstep,10,0,0,9,6,2,4,0,1,0,0,0,6,0,3,0,0,0,1,0
26970,RazorWings,5,0,0,4,1,1,3,0,0,0,0,0,1,0,3,0,0,1,0,0
26971,SuddenlySignificantCity,2,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0
26972,WavemotionGun,9,0,0,9,8,1,1,0,0,0,0,0,8,0,1,0,0,0,0,0
26973,WorseWithContext,3,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
26974,CharacterisationMarchesOn,13,0,3,10,6,1,1,0,4,0,0,0,9,0,2,0,1,0,0,0
26975,CharacterizationMArchesOn,13,0,3,10,6,1,1,0,4,0,0,0,9,0,2,0,1,0,0,0
26976,FantasticNaturePreserve,9,0,0,4,4,2,3,1,1,0,0,0,6,0,1,0,0,1,0,0
26977,FantasticNatureReserve,10,0,0,5,4,3,4,1,1,0,0,0,6,0,2,0,0,1,0,0
26978,BowsVersusCrossbows,4,0,0,3,3,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0
26979,CombatAestheticist,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26980,ThisMeansWarPaint,14,0,2,7,7,2,1,0,4,1,0,3,6,0,2,0,3,0,1,1
26981,TribalFacepaint,7,1,1,3,5,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0
26982,BlindObedience,12,0,5,3,2,2,3,0,3,0,0,2,1,1,3,1,1,0,2,0
26983,BachelorAuction,8,4,5,2,2,0,0,2,4,0,0,0,1,0,1,1,0,0,0,0
26984,OutdoorsyGal,5,2,1,2,1,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1
26985,ShortTank,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1
26986,Shorttank,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1
26987,UnrequitedLoveSwitcheroo,11,9,5,0,0,0,1,1,6,0,2,0,0,0,2,0,0,0,0,0
26988,Dubstep,2,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26989,FuturisticSuperhighway,8,0,2,5,4,0,1,0,1,0,0,0,8,0,1,1,0,0,0,0
26990,LastFertileRegion,7,1,0,4,6,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0
26991,LayeredMetropolis,6,0,2,3,2,0,0,1,1,0,0,0,4,0,1,2,0,1,0,0
26992,MultiBoobage,11,1,5,5,5,1,1,0,0,0,1,0,5,0,2,0,0,0,0,0
26993,Multiboobage,12,1,6,5,5,1,1,0,0,0,1,0,5,0,2,0,0,0,0,0
26994,MurderArsonAndJaywalking,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26995,NeuroVault,6,0,0,5,5,0,1,0,1,0,0,0,4,0,2,0,1,0,0,0
26996,PostApocalypticGasMask,6,0,0,3,3,1,2,0,3,0,0,0,6,0,0,0,0,0,0,1
26997,PostApocalypticGasmask,6,0,0,3,3,1,1,0,3,0,1,0,5,0,0,0,0,0,0,1
26998,TotalRecall,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
26999,TripleNipple,8,1,3,4,4,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0
27000,AllCGICartoon,4,0,2,2,4,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
27001,AutomatedAutomobile,2,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
27002,BrainFreeze,4,0,3,3,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0
27003,BrainwashResidue,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
27004,DesignatedGirlfight,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27005,DivorceRequiresDeath,11,1,5,1,1,3,3,3,6,0,2,0,1,0,2,0,0,0,0,0
27006,FirstGirlAfterAll,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27007,FirstgirlAfterAll,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27008,GhostMemory,2,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
27009,HappinessInMindControl,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27010,InescapableAmbush,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27011,MakeAnExampleofThem,7,0,0,4,2,0,2,1,3,1,0,1,3,0,0,0,0,0,0,0
27012,MakeanExampleofThem,7,0,0,4,2,0,2,1,3,1,0,1,3,0,0,0,0,0,0,0
27013,MemoryWipeExploitation,7,3,3,2,2,0,2,0,1,0,2,0,2,0,1,0,1,0,0,1
27014,NinjaLog,3,0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
27015,OminousAdversarialAmusement,6,1,1,5,5,1,0,0,0,0,0,0,4,0,1,0,1,0,0,0
27016,OnceGreenMars,4,0,0,2,3,1,2,0,0,0,1,0,4,0,0,0,0,0,0,0
27017,PleasureIsland,7,0,2,3,3,2,2,1,2,0,1,0,2,0,1,0,1,0,0,0
27018,TheWarOfEarthlyAggression,2,0,0,2,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
27019,UsedYouAllAlong,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27020,WeWillSpendCreditsInTheFuture,4,0,1,3,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
27021,HeManAndTheMastersOfTheUniverse,2,0,0,1,1,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0
27022,HealingSpring,4,0,0,1,2,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0
27023,JerkwithaHeartofGold,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
27024,LightSwitchSurprise,3,0,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
27025,LightswitchSurprise,3,0,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
27026,MedicalHorror,8,0,0,0,1,7,4,0,2,1,2,1,1,0,1,0,1,0,0,0
27027,PureIsNotGood,5,0,0,1,1,3,1,0,2,0,1,0,3,0,2,0,0,0,0,0
27028,FootDraggingDivorcee,9,1,4,2,1,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0
27029,SolomonDivorce,4,2,2,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0
27030, AccidentAndEntertainment,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27031,DeadForReal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27032,DressedToHeal,5,0,4,0,2,0,0,0,2,0,0,0,1,0,1,0,2,0,0,1
27033,GoodDocBadDoc,3,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
27034,KilledOffforReal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27035,Koan,4,0,1,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0
27036,RobotClown,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27037,ScrewTheRulesTheyBrokeThemFirst,13,1,5,7,4,1,2,2,5,1,0,1,4,0,3,0,1,1,0,1
27038, BoundAndGagged,6,0,1,0,0,3,1,1,4,0,1,0,0,0,0,0,0,0,0,0
27039,AnomalousArt,3,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0
27040,CrueltyRichLeather,13,0,4,5,3,6,2,1,0,0,0,0,3,0,1,1,0,0,0,0
27041,CityOfBones,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27042,OpinionMyopia,10,2,4,5,5,0,1,0,2,0,2,0,4,0,5,0,2,0,0,2
27043,BandageBabe,5,0,1,3,3,2,1,1,0,0,1,0,2,0,1,0,1,0,0,0
27044,CeilingCorpse,9,0,1,3,3,4,4,1,4,1,2,1,3,0,0,0,0,0,0,0
27045,Bug,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27046,AllWomenLoveShoes,16,11,12,1,2,1,2,0,9,0,0,0,1,2,2,2,3,0,0,0
27047,AscendedDragon,17,0,1,13,12,0,3,2,0,0,1,0,11,0,1,0,3,0,1,1
27048,BetaBaddie,3,0,1,3,3,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0
27049,BetaTestBaddie,2,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
27050,CaptureAndReplicate,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27051,CaptureandReplicate,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27052,DualTonfas,8,0,2,7,5,1,1,1,0,0,0,0,4,0,2,0,1,0,0,0
27053,GrayGoo,9,0,2,3,3,4,2,1,1,0,2,0,7,0,0,0,0,0,0,0
27054,GreyGoo,11,0,3,3,3,4,2,1,1,0,2,0,7,0,0,0,0,1,0,1
27055,HairTodayGoneTomorrow,18,4,5,7,10,0,4,2,8,0,0,0,8,0,5,1,1,0,0,0
27056,HeadButtOfLove,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27057,Hummer2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
27058,IWasYoungAndINeededTheMoney,7,1,3,3,1,2,1,0,2,1,0,0,2,0,0,0,0,0,0,0
27059,IWasYoungAndNeededTheMoney,12,3,5,3,1,3,3,1,4,1,1,0,3,0,0,0,0,0,1,0
27060,InterrogatingTheDead,9,1,3,6,3,2,2,1,2,0,1,0,4,0,4,0,1,0,2,0
27061,MagicalParticleAccelerator,5,0,1,4,3,0,1,0,0,0,0,0,3,0,2,0,1,0,0,0
27062,OneWayVisor,7,1,1,5,5,0,3,0,1,0,0,0,5,0,3,1,2,0,0,0
27063,OverTheTopSecret,9,0,1,7,7,0,2,0,2,1,1,1,8,0,0,0,1,0,0,1
27064,RightHandOfDoom,2,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
27065,Rival,10,2,2,7,7,0,3,1,2,0,0,0,3,0,1,1,2,0,0,0
27066,SinisterWhistling,11,0,2,4,1,6,5,2,5,0,2,0,1,1,2,0,0,0,1,0
27067,SuperVillainLair,10,0,4,7,6,0,2,1,0,0,0,0,6,0,1,0,2,1,0,0
27068,TheRightHandOfDoom,4,0,0,3,2,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0
27069,UnderwaterBase,11,1,1,5,5,4,6,1,1,0,1,0,9,0,0,0,0,1,0,0
27070,WeaponofMassDestruction,5,0,0,4,2,0,1,0,2,1,0,1,4,0,0,0,0,0,0,0
27071,WeaponsOfMassDestruction,6,0,1,4,3,0,1,0,2,1,0,1,4,0,0,0,0,0,0,0
27072,BiggerIsBetter,13,4,10,2,2,1,2,1,1,0,0,0,2,1,1,4,2,1,0,0
27073,EmbeddedPrecursor,6,1,0,2,3,4,1,0,1,0,1,0,2,1,0,0,1,0,0,0
27074,ImprobableTaxonomySkills,8,1,4,3,6,1,0,0,2,0,0,0,5,2,0,0,1,0,0,0
27075,PostscriptSeason,5,0,0,4,5,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0
27076,RuleOfCute,3,2,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0
27077,ScavengersAreScum,2,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
27078,TheLostWorld,3,0,0,1,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
27079, AcceptableTargets,14,2,8,3,0,1,3,4,5,1,1,1,1,0,1,0,0,2,0,0
27080,LevelUp,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27081,Magitek,14,1,2,8,7,1,1,0,3,0,2,0,7,1,5,0,2,0,0,0
27082,ResurrectionRevenge,5,0,0,3,1,3,2,1,1,0,0,0,2,0,1,0,0,0,1,0
27083,ShesNotMyGirlfriend,3,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27084,ShotgunSAreJustBetter,21,0,2,15,8,5,8,5,3,1,0,0,12,1,3,0,0,0,0,0
27085,ShotgunsareJustBetter,21,0,2,15,8,5,8,5,3,1,0,0,12,1,3,0,0,0,0,0
27086,ColdWar,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27087,FatalFireworks,9,1,2,2,3,3,0,0,1,0,1,1,2,0,3,1,1,0,0,0
27088, ColdWar,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27089,GetAholdOfYourselfMan,7,1,4,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0
27090,SinInvitesPossession,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27091,TimeShiftedActors,6,0,1,1,2,1,1,0,2,1,1,0,2,0,2,1,0,0,0,0
27092,TimeshiftedActors,5,0,1,1,2,0,0,0,2,1,0,0,2,0,2,1,0,0,0,0
27093, ClimbingClimax,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27094, AsTheGoodBookSays,12,2,1,3,1,3,2,3,7,2,0,2,2,2,0,1,0,1,2,0
27095,SexySpectacles,5,0,1,1,1,2,2,0,2,0,2,0,1,0,0,0,0,0,0,0
27096,TooManyBelts,2,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
27097,Rise,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27098,Sideboob,20,7,7,7,5,4,7,1,7,0,3,1,2,1,0,0,0,0,0,0
27099, EyeTake,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27100,AmnesiacProtagonistCatalyst,3,0,0,1,1,0,3,0,1,0,2,0,1,0,1,0,0,0,0,0
27101,AshCanCopy,17,0,4,8,9,4,3,1,3,0,2,0,8,0,2,0,1,0,1,1
27102,BeamOwAR,14,2,3,8,8,0,2,0,1,0,1,0,8,0,7,0,1,0,0,0
27103,FictionalEarth,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
27104,HairReboot,9,0,6,3,3,0,1,1,0,0,0,0,3,0,3,0,0,1,0,0
27105,HydraProblem,10,0,1,7,7,2,1,0,0,0,1,0,6,0,4,0,2,1,0,0
27106,IdiotHair,5,2,4,1,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
27107,LavaAddsAwesome,3,0,0,3,3,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0
27108,ShonenHair,3,0,0,3,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0
27109,StubbornHair,3,1,2,1,1,0,1,0,1,0,0,0,1,0,2,0,2,0,0,0
27110,SwissArmySuperpower,3,0,0,1,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0
27111,TriviallyObvious,10,0,5,3,1,1,2,2,3,0,0,0,1,0,2,0,2,0,0,0
27112,WakeUpGoToSchoolSaveTheWorld,7,0,3,4,5,1,1,0,0,0,0,0,3,0,2,0,4,0,0,0
27113,DyingWords,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
27114,TeamBenefactor,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27115,CallItKarma,9,1,4,5,1,0,3,3,3,0,0,0,1,0,4,0,0,0,0,0
27116,ExcessiveMourning,7,0,0,1,0,3,0,1,4,0,0,0,0,0,2,0,1,0,0,0
27117,IronicBirthday,9,0,1,4,1,2,1,2,3,0,0,0,4,1,0,0,0,0,0,0
27118,AmbiguouslyTrained,6,0,1,4,0,1,5,5,0,0,1,0,0,0,0,0,0,0,1,0
27119,DiveUnderTheExplosion,10,0,0,9,5,0,8,2,3,0,1,1,1,0,0,0,0,0,0,0
27120,FemmeFatales,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
27121,HowDoYouSay,5,1,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
27122,PleaseShootTheMessenger,4,0,1,3,2,0,2,3,1,0,0,0,1,0,0,0,1,0,0,0
27123,WildMan,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27124,ZettaiRyouiki,5,0,1,3,1,2,3,2,0,0,0,0,2,0,0,1,0,0,0,0
27125,UndeadLaborers,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27126,CriminalMindgames,16,0,3,8,0,3,10,7,2,0,6,0,2,0,2,0,1,0,0,1
27127,RevisitingTheColdCase,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27128, ActivistFundamentalistAntics,4,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0
27129,HidingBehindReligion,10,2,1,1,0,1,2,3,6,0,0,0,0,0,0,1,0,1,0,0
27130,IsNothingSacred,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27131,Kawaiiko,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
27132,PromBaby,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27133,PromIsForStraightKids,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27134, AwkwardlyPlacedBathtub,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27135,BossArenaUrgency,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27136,CelebrityPower,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
27137,EverybodyDoTheEndlessLoop,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27138,EverybodyDotheEndlessLoop,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27139,GettingReadyForBedPlot,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27140,PlotDetour,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
27141,RepeatWhatYouJustSaid,7,2,3,2,2,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0
27142,StrictParentsMakeSneakyKids,3,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
27143,StubbornMule,7,1,4,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,1,0
27144, DirectedByCastMember,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27145,AwkwardSilence,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27146,LiteratureOfThe1960s,10,1,1,2,4,1,3,1,9,1,1,2,0,0,0,0,0,0,1,0
27147,TwoGirlRomanticFriendship,7,0,3,0,0,3,1,0,4,0,2,0,0,0,1,0,0,0,0,0
27148, BadassCrew,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27149,CultureBlind,3,0,1,1,0,0,2,0,1,0,0,0,2,0,1,0,1,0,1,0
27150,EatingShoes,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
27151,FangirlJapanese,4,0,4,2,3,0,1,0,0,0,0,0,2,0,1,0,2,0,1,0
27152,HumanDadNonhumanMom,12,2,4,7,6,2,2,0,1,0,0,0,6,0,2,1,0,1,1,1
27153,HumanMomNonHumanDad,13,2,4,8,7,2,2,0,1,0,0,0,7,0,2,1,0,1,1,1
27154,HumanMomNonhumanDad,13,2,5,8,6,2,2,0,1,0,0,0,6,0,3,1,0,1,1,1
27155, DangerousSixteenthBirthday,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27156,OpenFlyGag,4,1,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27157,TakeANumber,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27158,BeardlessProtectionProgram,15,0,1,8,6,0,5,6,7,1,0,1,3,0,1,1,0,0,0,0
27159,GoodIsNotDumb,18,1,7,5,7,0,1,1,8,0,0,0,5,1,4,1,2,0,0,0
27160,OlderThanYouThink,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27161,SurveillanceDrone,11,0,3,7,3,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0
27162,ExperimentalArcheology,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
27163, DissonantSerenity,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27164,TheKirk,16,1,4,10,7,1,5,1,4,2,0,3,6,0,1,0,0,0,2,0
27165, DiscussedTrope,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27166, AdaptationalModesty,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
27167, BigWhat,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27168,CowBoy,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
27169,Cowgirl,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
27170,NocturnalEmission,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27171,PurelyAestheticGender,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
27172,QueerShowGhetto,11,6,3,1,1,1,1,1,8,2,0,1,2,0,1,0,0,0,0,0
27173,ReunionKiss,9,5,4,2,2,0,0,0,5,0,0,0,1,0,3,0,0,0,1,0
27174,ShortStory,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27175,WetDream,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27176,AdaptationExplanationExtradiction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27177,MagicCauldron,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27178,SerialRomeo,3,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
27179,TamerAndChaster,9,1,3,4,2,2,1,1,0,0,0,0,3,0,4,1,1,0,0,1
27180,TheMusicMeister,4,1,3,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0
27181,AnimatedActor,4,0,0,3,4,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1
27182,BladeLock,23,5,2,14,15,1,1,2,6,4,0,1,4,0,3,0,0,1,1,0
27183,BrainsEvilBrawnGood,14,0,1,10,9,1,5,1,3,0,1,0,5,0,3,0,0,1,0,0
27184,CallThatAFormation,11,0,0,6,8,0,1,0,5,4,0,4,0,0,5,0,1,0,0,1
27185,EquippableAlly,2,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
27186,FullBoarACtion,6,1,0,2,3,2,0,0,1,0,0,0,0,0,4,0,2,0,0,0
27187,FullBoarAction,7,1,1,3,4,2,0,0,1,0,0,0,1,0,4,0,3,0,0,0
27188,FullboarAction,6,1,0,2,3,2,0,0,1,0,0,0,0,0,4,0,2,0,0,0
27189,LandShark,8,0,1,5,7,2,1,0,0,0,0,0,6,0,1,0,0,0,0,0
27190,LeftJustifiedFantasyMap,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27191,LegallyDead,12,2,3,5,4,0,2,2,5,0,1,1,2,0,1,0,1,0,0,0
27192,LumberjackBridge,4,0,0,4,3,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0
27193,MedievalPrehistory,5,0,0,4,5,0,0,0,1,1,0,0,1,0,3,0,1,0,0,0
27194,OurOgresAreDifferent,4,0,1,1,1,1,0,0,1,0,0,1,1,1,3,0,1,0,0,0
27195,SandWorm,14,0,3,9,10,5,2,0,0,0,0,0,10,1,1,0,0,0,0,0
27196,Sandworm,8,0,1,5,7,2,1,0,0,0,0,0,6,0,1,0,0,0,0,0
27197,SirCameosALot,5,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
27198,TheWarSequence,3,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27199,ThirdPartyStopsAttack,2,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27200,VileVillainLaughableLackey,10,0,3,5,5,1,2,0,2,0,0,1,3,0,2,0,1,0,0,0
27201,EggSitting,3,0,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
27202,LesbianRomance,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27203,ConfessInConfidence,10,2,4,3,1,1,6,3,4,0,1,0,0,0,1,0,0,0,0,0
27204,HotForPreacher,16,5,8,4,1,5,2,1,6,1,0,2,0,0,4,1,2,0,0,0
27205,Priest,2,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
27206,Dhampir,7,3,3,4,1,6,2,0,0,0,0,0,1,0,3,0,0,0,0,0
27207,DoomTroops,7,0,0,7,4,1,2,0,0,1,0,1,3,0,3,0,0,0,0,0
27208,HalfVampire,6,3,2,3,1,6,2,0,0,0,0,0,1,0,2,0,0,0,0,0
27209,JumpPhysics,3,0,1,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
27210,HollywoodThin,9,5,7,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0
27211,ScoutOut,18,3,13,5,2,2,3,3,6,0,2,0,1,0,1,0,4,0,0,1
27212,TheBlob,3,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
27213,Boomtown,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
27214,Demonization,7,0,2,2,1,1,2,0,2,0,1,0,2,1,1,0,2,0,1,1
27215,ThePardon,10,1,4,3,5,1,0,2,0,1,1,1,2,0,0,0,1,0,2,0
27216, AlohaHawaii,5,2,4,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0
27217,PottyDance,8,1,6,0,0,0,0,3,2,0,1,0,0,1,0,1,1,0,1,0
27218,AlwaysAccurateAttack,6,1,0,3,2,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0
27219,ArbitraryMaximumRange,6,1,2,4,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
27220,DaysOfFuturePast,7,0,0,3,4,0,2,0,2,0,1,0,6,0,0,0,0,0,1,0
27221,FutureMeScaresMe,10,0,5,2,3,1,3,0,2,0,0,0,7,0,1,0,1,0,0,0
27222,FuturemeScaresMe,5,0,2,2,1,1,1,0,2,0,0,0,2,0,1,0,1,0,0,0
